leave_type,leave_start_date,leave_end_date,leave_start_period,leave_end_period,leave_days,applicant_name,reporting_person,applicant_department,applicant_subdepartment
maternity_leave,06-10-2023,12-10-2023,full_day,full_day,7,Donna Fletcher,Pedro Macias DDS,Office Admin,Office Admin
maternity_leave,30-10-2024,07-11-2024,second_half,full_day,9,Lisa Collins,Andrew Montoya,Office Admin,Office Admin
medical_leave,07-09-2023,08-09-2023,second_half,full_day,2,Emily Martin,David Guerrero,Technical,iOS
maternity_leave,05-03-2024,10-03-2024,first_half,full_day,6,Mrs. Holly Smith,Manuel Robbins,Business,Business Development Executive
maternity_leave,04-07-2024,08-07-2024,first_half,full_day,5,Andrew Henry,Kimberly Sharp,Business,Business Development Executive
casual_leave,26-07-2024,30-07-2024,first_half,full_day,5,David Porter,Michelle Owens,Technical,System
medical_leave,27-10-2024,28-10-2024,full_day,full_day,2,Elizabeth Robinson,Jeff Sanchez,Business,Business Development Executive
maternity_leave,26-02-2024,28-02-2024,second_half,first_half,3,Deborah Ballard,Kelsey Berry,Business,Business Development Executive
marriage_leave,06-09-2024,06-09-2024,first_half,first_half,0.5,Robert Johnson,Catherine Jimenez,Office Admin,Office Admin
marriage_leave,25-10-2023,28-10-2023,first_half,full_day,4,Colin Taylor,Sarah Garcia,HR,HR
marriage_leave,07-01-2025,10-01-2025,first_half,full_day,4,Kerry Santana,Susan Carr,Business,Business Development Executive
paternity_leave,15-07-2023,18-07-2023,second_half,first_half,4,Olivia Anderson,Michael Mason,HR,HR
medical_leave,28-04-2024,29-04-2024,first_half,full_day,2,Gregory Buchanan,Jessica Bailey MD,HR,HR
paternity_leave,12-03-2024,18-03-2024,second_half,full_day,7,Leslie Ramirez,Lisa Webster,Technical,NodeJS
medical_leave,27-10-2023,02-11-2023,first_half,first_half,7,Matthew Graves,Brittany Gregory,Office Admin,Office Admin
casual_leave,05-04-2025,14-04-2025,full_day,first_half,10,Antonio Riley,Maria Rodgers,Business,Business Development Executive
medical_leave,06-03-2024,14-03-2024,first_half,first_half,9,Christina Davis,Jennifer Travis,Technical,Android
marriage_leave,20-12-2024,25-12-2024,full_day,full_day,6,Bradley Mccall,Russell Jordan,Office Admin,Office Admin
casual_leave,30-01-2025,03-02-2025,first_half,first_half,5,Sierra Bullock,Kelsey Johnson,Office Admin,Office Admin
medical_leave,30-06-2023,05-07-2023,second_half,full_day,6,Keith Zimmerman,Robert Kelly,HR,HR
casual_leave,30-08-2023,09-09-2023,first_half,first_half,11,Jon Sullivan,Brandi Garcia,HR,Project coordinator
casual_leave,01-03-2024,08-03-2024,full_day,full_day,8,Ronald Fisher,Jennifer Martin,Business,Business Development Executive
paternity_leave,11-02-2025,12-02-2025,second_half,first_half,2,Sarah Johnson,Justin Munoz,Office Admin,Office Admin
paternity_leave,19-01-2025,24-01-2025,second_half,full_day,6,Sarah Miles,Sean Phillips,Business,Business Development Executive
medical_leave,20-02-2024,20-02-2024,full_day,full_day,1,Brandon Mcguire,Russell Anderson,HR,Project coordinator
maternity_leave,19-03-2025,26-03-2025,first_half,full_day,8,James Williams,Karla Rodriguez,HR,Project coordinator
maternity_leave,26-04-2023,27-04-2023,second_half,full_day,2,Kenneth Jones,Amber Santos,HR,Project coordinator
marriage_leave,11-02-2025,16-02-2025,first_half,full_day,6,Susan Stone,Anthony Bowers,Business,Business Development Executive
medical_leave,12-11-2023,19-11-2023,full_day,full_day,8,Timothy Garza,Omar Richardson,Technical,iOS
casual_leave,30-08-2023,07-09-2023,first_half,first_half,9,Brandon Santiago,Carmen Martinez,Office Admin,Office Admin
maternity_leave,07-05-2023,14-05-2023,first_half,first_half,8,Kerry Mcmahon,Steven Pollard,Office Admin,Office Admin
paternity_leave,13-05-2023,15-05-2023,first_half,full_day,3,Shelby Peterson,Melinda Cooper,Technical,Android
academic_leave,14-04-2024,19-04-2024,second_half,full_day,6,Sherry Levy,Scott Delgado,HR,HR
marriage_leave,16-07-2023,25-07-2023,full_day,first_half,10,Jacqueline Kelly,Amanda Wood,HR,Project coordinator
medical_leave,10-08-2023,12-08-2023,first_half,full_day,3,Haley Brooks,Jessica Case,Business,Business Development Executive
maternity_leave,03-02-2024,09-02-2024,first_half,full_day,7,Brian Cook,Jeffrey Brown,Technical,iOS
paternity_leave,02-01-2025,02-01-2025,full_day,first_half,0.5,Juan Lee,Amanda Jones,Office Admin,Office Admin
marriage_leave,04-06-2023,06-06-2023,first_half,first_half,3,Kimberly Walters,Joshua Henderson,Technical,ReactJS
casual_leave,17-06-2024,22-06-2024,first_half,first_half,6,Cindy Oliver,Jeremy Mendoza,HR,HR
academic_leave,09-08-2024,12-08-2024,second_half,full_day,4,Mercedes Guerrero,Joseph Cochran,HR,Project coordinator
medical_leave,07-03-2024,16-03-2024,first_half,first_half,10,Rhonda Flores,Anita James,Office Admin,Office Admin
casual_leave,21-06-2024,01-07-2024,first_half,first_half,11,Cassandra Shaw,Mark Reese,Technical,iOS
academic_leave,12-07-2024,14-07-2024,first_half,first_half,3,Maria Drake,Mr. Chris Gray,Office Admin,Office Admin
maternity_leave,19-01-2025,25-01-2025,full_day,first_half,7,Scott James,Dustin Taylor,Office Admin,Office Admin
maternity_leave,17-11-2023,26-11-2023,full_day,full_day,10,Robert Cross,Jamie Robinson,Technical,System
paternity_leave,19-09-2024,27-09-2024,first_half,first_half,9,Renee Walker,Norma Dixon,Business,Business Development Executive
marriage_leave,12-12-2023,19-12-2023,full_day,full_day,8,Shannon Lopez,Joseph Ellison,HR,Project coordinator
paternity_leave,21-05-2024,27-05-2024,second_half,full_day,7,Lisa Stone,Mr. Ryan Foster,Technical,iOS
paternity_leave,16-02-2024,16-02-2024,first_half,full_day,0.5,Jennifer Mueller,Emily Lynch,Technical,System
casual_leave,18-05-2024,28-05-2024,first_half,first_half,11,Patrick Burgess,Roberto Velasquez,Office Admin,Office Admin
maternity_leave,30-08-2023,30-08-2023,first_half,first_half,0.5,Phillip Turner,Stephen Miller,Technical,Angular
casual_leave,14-07-2024,22-07-2024,first_half,full_day,9,William Lawrence Jr.,Sarah Roberts,Technical,ReactJS
medical_leave,18-06-2024,25-06-2024,second_half,first_half,8,Daniel Reed,Dr. Phillip Rodriguez,Business,Business Development Executive
maternity_leave,27-05-2024,06-06-2024,full_day,full_day,11,Nathan Foster,Miss Karen Brewer,Office Admin,Office Admin
academic_leave,24-06-2024,02-07-2024,first_half,first_half,9,Tony Sims,Kristin Sherman,Technical,System
paternity_leave,21-03-2025,22-03-2025,first_half,first_half,2,Denise Morales,Dr. William Porter Jr.,Office Admin,Office Admin
paternity_leave,07-01-2024,14-01-2024,second_half,first_half,8,Sarah Nolan,George Smith,Office Admin,Office Admin
casual_leave,24-01-2024,26-01-2024,first_half,full_day,3,Lynn Mclaughlin,Darryl Shelton,Technical,System
medical_leave,10-11-2023,15-11-2023,first_half,full_day,6,Tammy Gibson,Gloria Carr,Office Admin,Office Admin
marriage_leave,06-07-2023,09-07-2023,second_half,full_day,4,Matthew Allen,Daniel Garcia,Technical,iOS
casual_leave,03-07-2024,06-07-2024,full_day,full_day,4,Jennifer Williams,Maria Miller,Business,Business Development Executive
medical_leave,02-07-2023,08-07-2023,second_half,first_half,7,Sandra Johnson,Joanna Jones,HR,Project coordinator
marriage_leave,26-12-2023,03-01-2024,first_half,full_day,9,Theresa Bradley,Bradley Clark,Business,Business Development Executive
marriage_leave,18-07-2023,23-07-2023,first_half,first_half,6,Eric Franco III,Thomas Johnson,Business,Business Development Executive
marriage_leave,31-07-2023,01-08-2023,full_day,first_half,2,Paige Preston,Christopher Osborne,Technical,System
paternity_leave,31-08-2023,02-09-2023,full_day,first_half,3,Linda Hawkins,David Dean MD,HR,HR
paternity_leave,18-11-2024,24-11-2024,second_half,full_day,7,Wendy Anderson,Sheena Campbell,Technical,iOS
maternity_leave,01-10-2024,04-10-2024,second_half,first_half,4,David Oliver,Cole Clark,Office Admin,Office Admin
marriage_leave,30-03-2025,06-04-2025,first_half,first_half,8,Matthew Brown,Lori Flores,Business,Business Development Executive
maternity_leave,11-07-2024,18-07-2024,second_half,full_day,8,Jeffrey Marshall,Julie Knapp,Office Admin,Office Admin
paternity_leave,28-02-2024,03-03-2024,full_day,full_day,5,Natalie Hardy,Keith Hawkins,Business,Business Development Executive
maternity_leave,03-10-2023,06-10-2023,second_half,first_half,4,Theresa Mcclain,Erika Porter,Technical,NodeJS
paternity_leave,10-10-2023,12-10-2023,full_day,full_day,3,Jeremy Oconnor DDS,James Salazar,Office Admin,Office Admin
casual_leave,15-02-2025,16-02-2025,second_half,full_day,2,Kristie Morgan,Henry Gonzalez,HR,Project coordinator
casual_leave,22-01-2024,01-02-2024,full_day,first_half,11,John Hill,Michelle Roman,Technical,iOS
academic_leave,09-01-2025,12-01-2025,first_half,first_half,4,Shane Powell,Susan Harper,HR,HR
medical_leave,13-05-2023,16-05-2023,second_half,first_half,4,David Wood,Brandon Smith,Office Admin,Office Admin
marriage_leave,21-03-2024,29-03-2024,first_half,full_day,9,Virginia Ferguson,Donna Simpson,Business,Business Development Executive
medical_leave,11-08-2024,15-08-2024,full_day,first_half,5,Miss Julia Lawson,Paula Lee,Business,Business Development Executive
medical_leave,27-04-2023,04-05-2023,full_day,first_half,8,Joe Stevenson,William Yates,Business,Business Development Executive
medical_leave,17-06-2023,27-06-2023,full_day,first_half,11,Mark Howard,Mckenzie Rhodes,Technical,Angular
academic_leave,22-01-2025,29-01-2025,full_day,full_day,8,Madison Montgomery,Dr. Wyatt Bryant,Business,Business Development Executive
maternity_leave,01-05-2023,05-05-2023,second_half,first_half,5,Theresa Davis,Michelle Schwartz,HR,Project coordinator
marriage_leave,16-10-2023,25-10-2023,first_half,full_day,10,Sarah Phillips,Jacqueline Singh,Technical,iOS
maternity_leave,04-01-2025,06-01-2025,second_half,first_half,3,Crystal Carter,Rose Webb,HR,Project coordinator
medical_leave,12-01-2024,17-01-2024,full_day,full_day,6,Grace Ferrell,Martha Perez,Technical,NodeJS
medical_leave,24-10-2024,01-11-2024,first_half,full_day,9,Wendy Solomon,Jaime Burton,HR,Project coordinator
academic_leave,02-06-2023,02-06-2023,full_day,full_day,1,Jason Parker,Lisa Rogers,Technical,iOS
casual_leave,17-01-2025,23-01-2025,first_half,first_half,7,Cheryl Mccann,Elizabeth Thompson,Business,Business Development Executive
casual_leave,26-12-2023,01-01-2024,second_half,full_day,7,Erika Giles,Breanna Kelly,Office Admin,Office Admin
marriage_leave,14-01-2024,22-01-2024,first_half,first_half,9,David White,Jesse Villanueva,Business,Business Development Executive
casual_leave,01-04-2024,08-04-2024,first_half,first_half,8,Kristin Fernandez,Ashley Moore,Office Admin,Office Admin
marriage_leave,02-07-2024,12-07-2024,full_day,first_half,11,John Castillo,Frank Kim,HR,HR
maternity_leave,09-12-2023,18-12-2023,full_day,first_half,10,Jon Bell,Elizabeth Duarte,Office Admin,Office Admin
casual_leave,10-01-2024,11-01-2024,full_day,full_day,2,Megan Hopkins,Jamie Johnson,Business,Business Development Executive
medical_leave,19-04-2025,25-04-2025,second_half,full_day,7,Rebecca Murray,Kristin Williams,Business,Business Development Executive
academic_leave,25-12-2024,28-12-2024,second_half,first_half,4,Steven Martinez,Emily Knight,HR,HR
maternity_leave,11-02-2025,17-02-2025,full_day,full_day,7,Joanna Simpson,Jamie Phillips,Technical,iOS
academic_leave,07-11-2023,17-11-2023,first_half,first_half,11,Chad Cole,Katie Malone,Technical,iOS
medical_leave,17-11-2024,23-11-2024,first_half,full_day,7,Christopher Wallace,Lance Johnson,Business,Business Development Executive
marriage_leave,25-02-2024,01-03-2024,second_half,first_half,6,Christina Vega,Brian Griffin,Technical,System
medical_leave,25-01-2024,25-01-2024,first_half,first_half,0.5,Pedro Leonard,Raymond Oneal,HR,Project coordinator
paternity_leave,22-06-2023,25-06-2023,full_day,first_half,4,Heather Martin,Gregory Booth,Business,Business Development Executive
academic_leave,28-03-2025,29-03-2025,first_half,full_day,2,Allison Hart,Mark Chambers,Business,Business Development Executive
maternity_leave,25-07-2023,29-07-2023,first_half,full_day,5,David Martinez,Rodney Nelson,Technical,NodeJS
academic_leave,28-11-2024,04-12-2024,second_half,full_day,7,Jeremy Hernandez,Robert Jacobs,Office Admin,Office Admin
casual_leave,31-08-2023,08-09-2023,full_day,first_half,9,Jose Baker,Heather Green,Office Admin,Office Admin
maternity_leave,15-12-2024,15-12-2024,full_day,first_half,0.5,Melissa Salazar,Megan Herring,Technical,Android
paternity_leave,19-06-2024,28-06-2024,full_day,full_day,10,Harold Brown DDS,Lisa Grimes,Business,Business Development Executive
paternity_leave,06-04-2024,14-04-2024,full_day,first_half,9,Kaitlyn Spencer,John Burgess,HR,Project coordinator
casual_leave,30-03-2024,05-04-2024,second_half,full_day,7,Kristy Schmitt,Cindy Davis,HR,Project coordinator
paternity_leave,02-12-2023,03-12-2023,first_half,full_day,2,Eric Reynolds,Antonio Wilson,Office Admin,Office Admin
marriage_leave,23-11-2024,03-12-2024,second_half,first_half,11,Sarah Taylor,Dominique Brown,HR,Project coordinator
maternity_leave,27-05-2023,28-05-2023,first_half,first_half,2,Austin Hill,April Shepherd,Technical,ReactJS
marriage_leave,14-08-2023,23-08-2023,first_half,full_day,10,Andrew Stewart MD,Charles Walker,HR,HR
casual_leave,09-01-2025,09-01-2025,second_half,full_day,0.5,Kimberly Frazier,Derek Martinez,HR,HR
medical_leave,14-02-2025,18-02-2025,first_half,full_day,5,Jenna Davis,Christopher Wilson,Technical,Angular
casual_leave,24-11-2024,26-11-2024,full_day,full_day,3,Crystal Andrews,Victoria Cole,Technical,Angular
medical_leave,14-04-2025,23-04-2025,full_day,first_half,10,William Smith,Lauren Hammond,Office Admin,Office Admin
medical_leave,05-10-2024,14-10-2024,first_half,first_half,10,Shawn Shelton,Joseph Elliott,Technical,NodeJS
academic_leave,26-03-2024,05-04-2024,first_half,full_day,11,Angela Brooks,James Reese,Technical,ReactJS
paternity_leave,26-01-2025,29-01-2025,second_half,first_half,4,John Morales,Patrick Gentry,Office Admin,Office Admin
medical_leave,17-03-2024,21-03-2024,full_day,full_day,5,Kimberly Smith,Tara Gutierrez,Technical,PHP
academic_leave,19-10-2024,22-10-2024,full_day,first_half,4,Deborah Haas,Linda Valdez,HR,Project coordinator
maternity_leave,24-11-2024,24-11-2024,first_half,first_half,0.5,Tim Bell,Jacob Baker,Business,Business Development Executive
maternity_leave,06-05-2024,13-05-2024,second_half,full_day,8,Phyllis Wood,Brian Bradley,HR,HR
casual_leave,07-05-2024,14-05-2024,full_day,first_half,8,Lynn Hebert,Sharon Mills,Business,Business Development Executive
academic_leave,14-04-2024,14-04-2024,full_day,full_day,1,Justin Woodard,Jeffrey Garcia,HR,HR
marriage_leave,04-01-2025,13-01-2025,second_half,first_half,10,Erika Berry,John Ashley,Office Admin,Office Admin
academic_leave,04-06-2024,05-06-2024,second_half,first_half,2,Christina Arnold,Patrick Brown,Business,Business Development Executive
casual_leave,04-08-2024,08-08-2024,first_half,full_day,5,Joshua Rodriguez,Richard Friedman,Technical,PHP
maternity_leave,13-10-2024,17-10-2024,full_day,full_day,5,Yolanda Johnson,Zachary Mills,HR,Project coordinator
casual_leave,12-01-2025,16-01-2025,full_day,full_day,5,Julia Heath,Jeremy Schmidt,Business,Business Development Executive
marriage_leave,01-01-2025,07-01-2025,second_half,full_day,7,Meagan Terry,Gabriel Brown,Technical,PHP
casual_leave,05-11-2024,08-11-2024,full_day,full_day,4,Maria Kim,Sue Stone,HR,Project coordinator
casual_leave,27-04-2024,28-04-2024,full_day,first_half,2,Frank Ramirez,Jacqueline Stevenson,HR,Project coordinator
casual_leave,09-09-2024,18-09-2024,second_half,full_day,10,Candice Frank,Brianna Kelly,Business,Business Development Executive
academic_leave,04-12-2024,12-12-2024,first_half,first_half,9,Charles Johnson,Christine Hardin,Office Admin,Office Admin
maternity_leave,10-01-2025,18-01-2025,first_half,full_day,9,Michael Miller,Kelly Cruz MD,Business,Business Development Executive
paternity_leave,10-01-2025,18-01-2025,first_half,first_half,9,Crystal Butler,Patrick Davila,Business,Business Development Executive
maternity_leave,22-06-2023,28-06-2023,full_day,first_half,7,Nicholas Valencia,Joseph Smith,Business,Business Development Executive
maternity_leave,07-08-2024,10-08-2024,full_day,full_day,4,Mitchell Mendez,Christine King,HR,HR
casual_leave,20-01-2024,22-01-2024,second_half,full_day,3,Courtney Morris DVM,Jeff Bass,HR,HR
maternity_leave,27-11-2024,01-12-2024,second_half,full_day,5,Brandon Campbell,Mary Washington,Technical,Angular
maternity_leave,25-06-2023,02-07-2023,second_half,first_half,8,Jennifer Sanchez,Nathaniel Robinson,Business,Business Development Executive
marriage_leave,25-04-2024,02-05-2024,first_half,full_day,8,Rachel Lin,Jose Obrien,HR,Project coordinator
maternity_leave,09-10-2024,19-10-2024,full_day,first_half,11,Eric Watkins,Jennifer Rowland,Business,Business Development Executive
paternity_leave,23-07-2023,28-07-2023,full_day,full_day,6,Catherine Bright,Jamie Moore,Business,Business Development Executive
medical_leave,20-05-2023,20-05-2023,first_half,first_half,0.5,Susan Proctor,Brenda Mendez,HR,HR
marriage_leave,12-09-2024,20-09-2024,first_half,full_day,9,James Williams,Amanda Woods,Office Admin,Office Admin
academic_leave,19-04-2024,24-04-2024,full_day,full_day,6,Laura Moore,Lisa Stout,Technical,ReactJS
academic_leave,12-11-2023,22-11-2023,full_day,first_half,11,Richard Browning,Ashley James,Business,Business Development Executive
marriage_leave,01-04-2024,07-04-2024,second_half,first_half,7,Kirsten Davis,Sarah Juarez,Technical,iOS
academic_leave,01-02-2024,08-02-2024,first_half,full_day,8,Pamela Lawson,Tyler Scott,Business,Business Development Executive
maternity_leave,19-12-2023,24-12-2023,second_half,first_half,6,Sharon Le,Stephen Berry,Technical,iOS
marriage_leave,03-01-2024,08-01-2024,second_half,full_day,6,Jason Hamilton,Crystal Young,Office Admin,Office Admin
medical_leave,02-08-2023,06-08-2023,second_half,full_day,5,Aaron Martinez,Raymond Buckley,Technical,PHP
medical_leave,09-09-2024,19-09-2024,second_half,full_day,11,Suzanne Gonzalez,Paula Castillo,Office Admin,Office Admin
paternity_leave,01-05-2024,07-05-2024,first_half,first_half,7,Kim Harmon,Bethany Campbell DDS,Technical,Angular
academic_leave,27-11-2024,27-11-2024,first_half,first_half,0.5,Alicia Davies,Ray Jackson,Office Admin,Office Admin
marriage_leave,30-01-2024,01-02-2024,second_half,full_day,3,Randy Johnson,Matthew Williams,Technical,NodeJS
casual_leave,08-06-2024,13-06-2024,first_half,first_half,6,Miranda Mcguire,Brian Mcgrath,Office Admin,Office Admin
medical_leave,20-07-2023,23-07-2023,second_half,full_day,4,Kristin Bowen,Jordan French,Technical,Android
casual_leave,22-12-2023,29-12-2023,full_day,full_day,8,Matthew Lee,Chad Yates,HR,HR
maternity_leave,05-09-2023,12-09-2023,first_half,first_half,8,Dwayne Serrano,Megan Charles,Technical,Angular
paternity_leave,08-01-2025,10-01-2025,first_half,first_half,3,Debra Reed,Natalie Lynn,HR,Project coordinator
marriage_leave,17-01-2025,25-01-2025,full_day,first_half,9,Jermaine Baker,Carlos Garcia,Technical,Angular
marriage_leave,15-02-2025,15-02-2025,first_half,full_day,0.5,Donald Boyd,Paula Wagner,Business,Business Development Executive
medical_leave,07-10-2023,07-10-2023,second_half,full_day,0.5,William Becker,David Aguilar,HR,HR
medical_leave,14-04-2024,14-04-2024,full_day,first_half,0.5,Joseph Nichols,Dr. Paul Rodriguez,HR,Project coordinator
medical_leave,01-05-2023,04-05-2023,full_day,full_day,4,Elizabeth Hogan,Amanda Miller,Technical,Android
academic_leave,07-11-2024,17-11-2024,second_half,first_half,11,Cassandra Taylor,James Mann,Technical,Android
medical_leave,08-09-2024,12-09-2024,full_day,first_half,5,Bruce Jones,Harold Brown,Technical,NodeJS
medical_leave,07-02-2024,14-02-2024,full_day,full_day,8,Erik Salazar,Edward Ibarra,Technical,iOS
academic_leave,23-03-2024,23-03-2024,full_day,full_day,1,Curtis Garcia,Chad Crawford,Business,Business Development Executive
paternity_leave,08-10-2024,11-10-2024,second_half,full_day,4,Tina Cox,Debra Williams,Business,Business Development Executive
paternity_leave,27-05-2023,30-05-2023,second_half,first_half,4,Jennifer Russell,Michael Carlson,Office Admin,Office Admin
maternity_leave,17-09-2023,19-09-2023,first_half,full_day,3,Paul Franklin,Benjamin Harris,HR,Project coordinator
maternity_leave,01-02-2025,05-02-2025,full_day,first_half,5,Phillip Daniels,Jason Allen,Business,Business Development Executive
academic_leave,02-12-2023,11-12-2023,second_half,full_day,10,Jessica Torres,Megan Rodriguez,Office Admin,Office Admin
academic_leave,23-06-2023,23-06-2023,second_half,first_half,0.5,Karen Howard,Christopher Gomez,Office Admin,Office Admin
paternity_leave,16-09-2023,19-09-2023,first_half,full_day,4,Peter Yoder,Robert Garcia,HR,Project coordinator
marriage_leave,27-04-2024,04-05-2024,second_half,full_day,8,David Wright,Karen Wood,HR,HR
casual_leave,14-02-2024,22-02-2024,full_day,full_day,9,Michael Rodriguez,Jonathan Salinas,Technical,PHP
marriage_leave,28-07-2023,29-07-2023,full_day,first_half,2,Matthew Johnson,Kevin Adkins,Business,Business Development Executive
maternity_leave,22-05-2023,23-05-2023,full_day,full_day,2,Amber Johnson,Devin Ayala,Business,Business Development Executive
medical_leave,14-03-2025,18-03-2025,full_day,first_half,5,Christopher Williams,Roger Clark,Business,Business Development Executive
academic_leave,09-08-2023,10-08-2023,first_half,first_half,2,Christopher Terrell,Joseph Payne,Office Admin,Office Admin
academic_leave,30-11-2024,09-12-2024,second_half,first_half,10,Thomas Bell,Richard Cohen,HR,HR
